,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2014-07-23,222.49,224.75,219.43,1.33,220.01,219.58,3088731,20140723,2,0,8.97753917347675,8.459104352269227
2014-07-24,223.54,225.1,220.8,0.47,223.25,222.49,3248410,20140724,3,1,8.812894450930237,8.249168327107139
2014-07-25,223.57,226.97,221.75,0.01,222.72,223.54,3090383,20140725,4,2,8.641804238981178,8.032799160885201
2014-07-28,224.82,232.0,221.4,0.56,224.25,223.57,6517611,20140728,0,3,8.735051656172551,8.216170649393401
2014-07-29,225.01,228.3,224.86,0.08,226.61,224.82,3387187,20140729,1,4,8.544334910640526,7.967158460151018
2014-07-30,228.92,229.6,221.04,1.74,221.92,225.01,4927823,20140730,2,5,8.545080867276692,8.009504284425946
2014-07-31,223.3,231.4,221.5,-2.45,229.26,228.92,7749058,20140731,3,6,8.609600825977802,8.144539692681237
2014-08-01,233.27,237.5,226.0,4.46,226.09,223.3,11898130,20140801,4,7,8.747238881883622,8.384215428918292
2014-08-04,238.52,240.5,233.27,2.25,234.38,233.27,5967406,20140804,0,8,9.14975131607964,9.0139143268527
2014-08-05,238.49,242.99,235.69,-0.01,237.47,238.52,5388581,20140805,1,9,9.17690601531394,9.064349017791793
2014-08-06,248.93,251.42,238.58,4.38,238.9,238.49,9249265,20140806,2,10,9.354196205060894,9.33832408794952
2014-08-07,252.39,256.688,249.12,1.39,250.12,248.93,7478926,20140807,3,11,9.775329719105613,9.97115808166741
2014-08-08,248.13,251.76,246.5,-1.69,251.16,252.39,5099061,20140808,4,12,9.560314018195822,9.634646790119737
2014-08-11,259.32,263.74,255.0,4.51,255.48,248.13,8101276,20140811,0,13,9.645537160186498,9.7571720193969
2014-08-12,259.96,260.3,254.58,0.25,258.08,259.32,6390412,20140812,1,14,9.765749676368094,9.929516875154267
2014-08-13,260.31,265.64,259.61,0.13,262.01,259.96,6932628,20140813,2,15,9.601666358445804,9.671694241214675
2014-08-14,261.38,263.0,258.54,0.41,262.49,260.31,4126633,20140814,3,16,9.356825103281718,9.2994303668422
2014-08-15,262.01,262.09,258.5,0.24,261.48,261.38,3867874,20140815,4,17,9.082214384077824,8.891613912067756
2014-08-18,259.94,267.26,259.75,-0.79,263.25,262.01,5849231,20140818,0,18,9.007347032455069,8.792927204062918
2014-08-19,256.76,259.33,251.62,-1.22,258.87,259.94,5340136,20140819,1,19,9.073187649957207,8.907003832344136
2014-08-20,255.71,258.74,253.0,-0.41,254.67,256.76,3027863,20140820,2,20,8.971607285673533,8.766503558605269
2014-08-21,254.34,258.8,253.26,-0.54,256.52,255.71,2919241,20140821,3,21,8.808197414927172,8.536039018704894
2014-08-22,256.78,256.95,252.61,0.96,254.54,254.34,2836959,20140822,4,22,8.595426109454449,8.236321945940258
2014-08-25,262.55,263.68,258.19,2.25,258.19,256.78,4318053,20140825,0,23,8.630882009004237,8.315156092658812
2014-08-26,261.74,265.5,261.66,-0.31,264.98,262.55,3822572,20140826,1,24,8.63512572286118,8.344073514611756
2014-08-27,263.25,264.24,260.29,0.58,263.5,261.74,2990532,20140827,2,25,8.412024497963026,8.030211120710915
2014-08-28,263.86,264.48,261.64,0.23,261.89,263.25,2854737,20140828,3,26,8.146689998060026,7.659481754945851
2014-08-29,269.7,272.0,267.51,2.21,268.7,263.86,6453958,20140829,4,27,8.175419045771454,7.737375915306862
2014-09-02,284.12,284.89,274.3,5.35,275.5,269.7,9852351,20140902,1,28,8.787541948353764,8.686849064213513
2014-09-03,281.19,288.0,280.1,-1.03,287.67,284.12,6779735,20140903,2,29,9.240516141289302,9.373502702483977
